"grup_codigo"|"grup_classificacao"|"grup_descricao"|"grup_prodserv"|"grup_decimaisest"|"grup_recuo"|"grup_periodos"|"grup_codigoncm"|"grup_comissao"|"grup_dpto_codigo"|"grup_comportamento"|"grup_classfiscal"|"grup_tipoitem"|"grup_dtestmin"|"grup_ctrlestmin"|"grup_percabast"|"grup_abatimento"|"grup_extra1"|"grup_extra2"|"grup_extra3"|"grup_extra4"|"grup_extra5"|"grup_extra6"|"grup_extra7"|"grup_extra8"|"grup_extra9"|"grup_grupo_ecomm"|"grup_dthrmanutencao"|"grup_dthrintegracao"|"grup_margemecomm"
"10421"|"0000170001"|Polvilho Doce|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11349"|"308"|Porcelana|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11455"|"3120010041"|Porta Bolo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11108"|"3010010002"|Porta Cd|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11347"|"307022"|Porta Incenso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11437"|"3120010025"|Porta Mantimentos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11160"|"302007"|Porta Materiais Escolares|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11682"|"330019"|Porta Objetos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11450"|"3120010036"|Porta Objetos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11456"|"3120010042"|Porta Pao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11444"|"3120010031"|Porta Talher|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11780"|"402001"|Portateis|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10857"|"0050100004"|Portugues|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10903"|"1010070002"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10918"|"1010120001"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10879"|"1010010001"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11327"|"307010"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11420"|"3120010009"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10792"|"0040230001"|Pote|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10493"|"0010090001"|Pote Creme Avelã|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12138"|"0010090008"|Pote Doce Cocada|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10494"|"0010090002"|Pote Doce Frutas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10495"|"0010090003"|Pote Doce Geléia|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10496"|"0010090004"|Pote Doce Leite|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12149"|"0010090009"|Pote Doce Outros|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12137"|"0010090007"|Pote Doce Pasta Amendoim|P|3|0|0|""||""|""|"2004"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10497"|"0010090005"|Pote Mel|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10498"|"0010090006"|Pote Melado|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11226"|"3040010007"|Pote Termico|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11726"|"3370010008"|Pranchas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12020"|"3020050009"|Prancheta|P|0|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"11316"|"307004"|Prato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11393"|"310008"|Prato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11426"|"3120010015"|Prato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11672"|"330009"|Prato|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11320"|"3070040004"|Prato Bolo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11547"|"324002"|Prato Descartavel|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11318"|"3070040002"|Prato Fundo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11094"|"2020010003"|Prato Jardinagem|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10968"|"101024"|Prato Pronto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11317"|"3070040001"|Prato Raso|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11319"|"3070040003"|Prato Sobremesa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11351"|"308002"|Pratos|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11653"|"329001"|Pregos/Parafusos/Rebites|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11578"|"325006"|Prendedor Roupa|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10592"|"001028"|Preparações Instantâneas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10800"|"004025"|Preservativo|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10946"|"101019"|Presunto|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12036"|"6"|Produto Em Manutencao|P|0|0|0|""||""|""||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"10586"|"001024"|Produto Oriental|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12158"|"0010240001"|Produto Oriental|P|3|0|0|""||""|""|"0"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12037"|"601"|Produtos Inativos|P|3|0|0|""||""|ML;FV||"00"|||0|||||||||||0||2022-10-04 15:28:27.000|
"10532"|"001014"|Produtos Panificação Terceiros|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11952"|"5040040016"|Promocional|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10770"|"0040160001"|Protetor|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11864"|"501008"|Protetor Colchao|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12108"|"0040010006"|Protetor Diário|P|0|0|0|""||""|""|"1"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12126"|"0010020007"|Proteína Soja|P|3|0|0|""||""|""|"2000"|"00"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"10565"|"001018"|Pré-misturas|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"10562"|"0010170015"|Pudim pó|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11979"|"505002"|Puericultura|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11101"|"2020010010"|Pulverizador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"11283"|"3060020006"|Purificador|P|3||||||||||||||||||||||0||2022-10-04 15:28:27.000|
"12084"|"0060030003"|Pães (francês/Caseiro/Comum)|P|3|0|0|""||""|""||"04"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
"12083"|"0060030002"|Pães Especiais|P|3|0|0|""||""|""||"04"|||0|0.000||||||||||0||2022-10-04 15:28:27.000|
